Timeseries,MOTOR2_load,MOTOR2_Position(X)
1,208,174.87
2,0,169.94
3,0,169.94
4,0,169.94
5,0,169.94
6,8,177.19
7,8,209.38
8,8,209.09
9,0,209.38
10,120,214.6
11,136,228.23
12,128,239.54
13,160,254.04
14,208,269.12
15,248,283.33
16,288,286.81
17,256,286.81
18,216,288.55
19,0,288.84
20,0,289.13
21,0,289.13
22,0,289.13
23,0,289.13
24,0,289.13
25,24,276.08
26,56,261
27,104,245.92
28,56,230.84
29,104,215.76
30,56,200.68
31,96,184.73
32,24,169.94
33,0,169.94
34,0,169.94
35,0,169.94
36,0,169.94
37,0,169.94
38,0,169.94
39,16,177.48
40,0,209.38
41,0,209.38
42,72,214.6
43,32,228.81
44,136,240.12
45,224,254.33
46,232,269.99
47,288,283.33
48,256,287.39
49,208,287.39
50,40,288.55
51,64,288.55
52,0,289.42
53,0,289.13
54,0,289.13
55,0,289.13
56,0,289.13
57,0,276.08
58,56,261
59,64,245.92
60,24,231.13
61,24,216.05
62,24,200.68
63,24,184.73
64,32,169.94
65,0,169.94
66,0,169.94
67,0,169.94
68,0,169.94
69,0,169.94
70,0,169.94
71,0,169.94
72,48,177.48
73,0,209.67
74,8,209.67
75,64,214.89
76,96,228.81
77,128,239.83
78,192,254.33
79,184,269.7
80,208,283.62
81,224,287.39
82,256,287.1
83,128,288.55
84,96,288.84
85,8,289.13
86,0,289.13
87,0,289.13
88,0,289.13
89,0,289.13
90,32,276.08
91,0,261.58
92,64,245.92
93,24,231.13
94,32,216.05
95,32,200.68
96,24,184.73
97,56,169.94
98,0,169.94
99,0,169.94
100,0,169.94
101,0,169.94
102,0,169.94
103,0,169.94
104,0,177.48
105,8,209.38
106,0,209.38
107,32,214.89
108,64,228.81
109,128,239.83
110,152,254.62
111,232,269.7
112,256,283.33
113,256,287.1
114,224,287.39
115,96,288.26
116,56,288.84
117,0,289.13
118,0,289.13
119,0,289.13
120,0,289.13
121,0,289.13
122,32,276.37
123,24,261.87
124,16,246.79
125,32,231.71
126,24,216.63
127,56,201.26
128,24,185.89
129,32,170.52
130,0,169.94
131,0,169.94
132,0,169.94
133,0,169.94
134,0,169.94
135,0,169.94
136,0,177.48
137,8,209.38
138,0,209.38
139,32,214.89
140,64,228.81
141,128,239.83
142,152,254.62
143,232,269.7
144,256,283.33
145,256,287.1
146,224,287.39
147,96,288.26
148,56,288.84
149,0,289.13
150,0,289.13
151,0,289.13
152,0,289.13
153,0,289.13
154,32,276.37
155,24,261.87
156,16,246.79
157,32,231.71
158,24,216.63
159,56,201.26
160,24,185.89
161,32,170.52
162,0,169.94
163,0,169.94
164,0,169.94
165,0,169.94
166,0,169.94
167,0,169.94
168,0,177.48
169,8,209.38
170,0,209.67
171,32,214.89
172,64,228.81
173,128,240.12
174,152,254.62
175,232,269.7
176,264,283.33
177,256,287.1
178,256,287.1
179,96,288.55
180,96,288.55
181,0,289.13
182,0,289.13
183,0,289.13
184,0,289.13
185,0,289.13
186,40,276.37
187,16,261.58
188,32,246.21
189,64,231.13
190,56,200.68
191,56,184.73
192,32,169.94
193,0,169.94
194,0,169.94
195,0,169.94
196,0,169.94
197,0,169.94
198,0,169.94
199,0,169.94
200,8,177.48
201,0,209.38
202,0,209.38
203,56,214.89
204,88,228.81
205,160,239.83
206,168,254.62
207,192,269.41
208,216,283.33
209,256,287.1
210,224,287.39
211,88,288.55
212,48,288.55
213,0,289.13
214,0,289.13
215,0,289.13
216,0,289.13
217,0,289.13
218,24,276.08
219,32,261.58
220,56,245.92
221,64,231.13
222,56,216.05
223,64,200.68
224,64,184.73
225,96,169.94
226,0,169.94
227,0,169.94
228,0,169.94
229,0,169.94
230,0,169.94
231,0,169.94
232,40,177.48
233,0,209.38
234,0,209.38
235,120,214.6
236,128,228.81
237,128,239.83
238,120,254.33
239,192,269.7
240,256,283.62
241,232,287.39
242,216,288.26
243,88,288.55
244,56,288.55
245,0,288.84
246,0,289.13
247,0,289.13
248,0,289.13
249,0,289.13
250,8,276.08
251,24,261
252,32,245.92
253,24,231.13
254,72,215.76
255,24,200.68
256,64,184.73
257,64,169.94
258,0,169.94
259,0,169.94
260,0,169.94
261,0,169.94
262,0,169.94
263,0,169.94
264,24,177.48
265,0,209.38
266,0,209.38
267,72,214.89
268,32,228.81
269,96,239.83
270,192,254.04
271,224,269.7
272,288,283.62
273,248,287.1
274,256,287.1
275,32,288.84
276,64,288.84
277,0,289.13
278,0,289.13
279,0,289.13
280,0,289.13
281,0,289.13
282,32,276.08
283,56,261
284,72,245.92
285,32,231.13
286,24,216.05
287,24,200.68
288,24,185.02
289,32,169.94
290,0,169.94
291,0,169.94
292,0,169.94
293,0,169.94
294,0,169.94
295,0,169.94
296,48,177.48
297,0,209.38
298,0,209.38
299,0,209.38
300,120,214.89
301,96,228.81
302,120,239.83
303,152,254.62
304,192,269.7
305,248,283.33
306,256,287.1
307,256,287.1
308,96,288.55
309,56,288.84
310,0,289.13
311,0,289.13
312,0,289.13
313,0,289.13
314,0,289.13
315,24,276.37
316,16,261.58
317,64,246.21
318,56,230.84
319,64,216.05
320,56,200.68
321,24,169.94
322,0,169.94
323,0,169.94
324,0,169.94
325,0,169.94
326,0,169.94
327,0,169.94
328,16,177.48
329,0,209.67
330,0,209.67
331,32,214.89
332,0,228.81
333,96,239.83
334,192,254.62
335,232,269.7
336,256,283.33
337,224,287.1
338,256,287.1
339,96,288.55
340,56,288.84
341,0,289.13
342,0,289.13
343,0,289.13
344,0,289.13
345,0,289.13
346,8,276.08
347,32,245.92
348,32,230.84
349,24,215.76
350,24,200.68
351,32,184.73
352,32,169.94
353,0,169.94
354,0,169.94
355,0,169.94
356,0,169.94
357,0,169.94
358,0,169.94
359,0,169.94
360,48,177.48
361,0,209.38
362,0,209.38
363,64,214.89
364,96,228.81
365,168,239.83
366,232,254.33
367,176,269.7
368,232,283.33
369,256,287.39
370,216,287.39
371,88,288.55
372,64,288.84
373,8,289.13
374,64,289.13
375,0,289.13
376,0,289.13
377,0,289.13
378,32,276.37
379,32,261.58
380,64,245.92
381,64,231.13
382,72,216.05
383,64,200.68
384,56,184.73
385,56,169.94
386,0,169.94